iteration,energy
123,-822237690384726323450095643521974272.000000
124,-822237690384726323450095643521974272.000000
125,-822237690384726323450095643521974272.000000
126,-822237690384726323450095643521974272.000000
127,-822237690384726323450095643521974272.000000
128,-822237690384726323450095643521974272.000000
129,-822237690384726323450095643521974272.000000
130,-822237690384726323450095643521974272.000000
131,-822237690384726323450095643521974272.000000
132,-822237690384726323450095643521974272.000000
133,-822237690384726323450095643521974272.000000
134,-822237690384726323450095643521974272.000000
135,-822237690384726323450095643521974272.000000
136,-822237690384726323450095643521974272.000000
137,-822237690384726323450095643521974272.000000
138,-822237690384726323450095643521974272.000000
139,-822237690384726323450095643521974272.000000
140,-822237690384726323450095643521974272.000000
141,-822237690384726323450095643521974272.000000
142,-822237690384726323450095643521974272.000000
143,-822237690384726323450095643521974272.000000
144,-822237690384726323450095643521974272.000000
145,-822237690384726323450095643521974272.000000
146,-822237690384726323450095643521974272.000000
147,-822237690384726323450095643521974272.000000
148,-822237690384726323450095643521974272.000000
149,-822237690384726323450095643521974272.000000
150,-822237690384726323450095643521974272.000000
151,-822237690384726323450095643521974272.000000
152,-822237690384726323450095643521974272.000000
153,-822237690384726323450095643521974272.000000
154,-822237690384726323450095643521974272.000000
155,-822237690384726323450095643521974272.000000
156,-822237690384726323450095643521974272.000000
157,-822237690384726323450095643521974272.000000
158,-822237690384726323450095643521974272.000000
159,-822237690384726323450095643521974272.000000
160,-822237690384726323450095643521974272.000000
161,-822237690384726323450095643521974272.000000
162,-822237690384726323450095643521974272.000000
163,-822237690384726323450095643521974272.000000
164,-822237690384726323450095643521974272.000000
165,-822237690384726323450095643521974272.000000
166,-822237690384726323450095643521974272.000000
167,-822237690384726323450095643521974272.000000
168,-822237690384726323450095643521974272.000000
169,-822237690384726323450095643521974272.000000
170,-822237690384726323450095643521974272.000000
171,-822237690384726323450095643521974272.000000
172,-822237690384726323450095643521974272.000000
173,-822237690384726323450095643521974272.000000
174,-822237690384726323450095643521974272.000000
175,-822237690384726323450095643521974272.000000
176,-822237690384726323450095643521974272.000000
177,-822237690384726323450095643521974272.000000
178,-822237690384726323450095643521974272.000000
179,-822237690384726323450095643521974272.000000
180,-822237690384726323450095643521974272.000000
181,-822237690384726323450095643521974272.000000
182,-822237690384726323450095643521974272.000000
183,-822237690384726323450095643521974272.000000
184,-822237690384726323450095643521974272.000000
185,-822237690384726323450095643521974272.000000
186,-822237690384726323450095643521974272.000000
187,-822237690384726323450095643521974272.000000
188,-822237690384726323450095643521974272.000000
189,-822237690384726323450095643521974272.000000
190,-822237690384726323450095643521974272.000000
191,-822237690384726323450095643521974272.000000
192,-822237690384726323450095643521974272.000000
193,-822237690384726323450095643521974272.000000
194,-822237690384726323450095643521974272.000000
